DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DECSP
11/1/1999,114,18.5,116.2,148.6,3.80%,5.50%,102.342,107.2,15.5
12/1/1999,111.6,18.5,117.1,148.6,3.70%,5.50%,102.5052,105.4,16.6875
1/1/2000,112.9,18.1,116.6,147.9,4.50%,5.50%,102.7341,112,16.5
2/1/2000,112.7,17.7,118.9,147.9,4.40%,5.75%,102.7866,111.3,15.4375
3/1/2000,113,17,119.3,146,4.30%,6.00%,102.7063,107.1,14
4/1/2000,112.6,17,122.6,145.8,3.70%,6.00%,102.6879,109.2,16.25
5/1/2000,112.9,17.2,124.5,145.8,3.80%,6.50%,102.6628,110.7,17.625
6/1/2000,113.7,17.3,124,145.8,4.10%,6.50%,102.5647,106.4,16.75
7/1/2000,113.3,16.1,123.5,145.7,4.20%,6.50%,102.5314,108.3,16.375
8/1/2000,113.4,15.7,122,145.6,4.10%,6.50%,102.4968,107.3,19.625
9/1/2000,113.8,16,119.6,145.7,3.80%,6.50%,102.4474,106.8,19.125
10/1/2000,116.1,17,120.2,145.7,3.60%,6.50%,102.3392,105.8,21.125
11/1/2000,115.1,17.4,119.9,145.7,3.70%,6.50%,102.0887,107.6,19.9375
12/1/2000,115.5,17.2,121.6,146,3.70%,6.50%,101.5629,98.4,21.6875
1/1/2001,115.7,16.7,121,146,4.70%,6.02%,101.0419,94.7,23.5
2/1/2001,116.2,15.5,125,146.6,4.60%,5.50%,100.6611,90.6,20.49
3/1/2001,117.4,14.6,126.4,146.4,4.50%,5.31%,100.4967,91.5,20
4/1/2001,117.8,14.5,128.7,146.4,4.20%,4.78%,100.4638,88.4,20.700001
5/1/2001,118.5,14.6,128.6,146.8,4.10%,4.23%,100.5862,92,25.5
6/1/2001,118.8,14.1,126.8,146.8,4.70%,3.97%,100.6649,92.6,26.85
7/1/2001,118.7,13.7,127,144.5,4.70%,3.75%,100.5792,92.4,28.299999
8/1/2001,118.1,13.7,128,144.5,4.90%,3.66%,100.2789,91.5,26.9
9/1/2001,118.4,14.1,127.3,144.5,4.70%,3.27%,99.84611,81.8,26.200001
10/1/2001,120,14.3,125.7,144.5,5.00%,2.52%,99.69008,82.7,25.559999
11/1/2001,119.9,14.7,121.6,144.4,5.30%,2.08%,99.83724,83.9,28.299999
12/1/2001,119.5,15,120.9,144.3,5.40%,1.83%,100.1934,88.8,29.299999
1/1/2002,119.8,14.1,119.8,144.8,6.30%,1.75%,100.5378,93,28.75
2/1/2002,119.8,13.9,123.1,144.8,6.10%,1.75%,100.7441,90.7,31.200001
3/1/2002,120.5,11.9,122.5,145.8,6.10%,1.75%,100.9306,95.7,33.709999
4/1/2002,118.3,11.2,120,146,5.70%,1.75%,100.9832,93,36.349998
5/1/2002,119.1,11.2,119.1,146.2,5.50%,1.75%,100.9572,96.9,34.099998
6/1/2002,119.5,10.7,119.1,146,6.00%,1.75%,100.7075,92.4,29.450001
7/1/2002,122.2,10.4,119.8,145.7,5.90%,1.75%,100.3731,88.1,27.4
8/1/2002,123.7,10,117.7,146.9,5.70%,1.75%,100.0976,87.6,24.77
9/1/2002,126.5,10.2,116.9,146.4,5.40%,1.75%,99.8565,86.1,24.1
10/1/2002,128.1,10.5,116.8,146.2,5.30%,1.75%,99.67451,80.6,22.889999
11/1/2002,126.7,10.6,116.8,146.5,5.60%,1.33%,99.6895,84.2,24.049999
12/1/2002,125.2,10.6,118.3,145.6,5.70%,1.25%,99.68697,86.7,24
1/1/2003,128.1,10.8,121.8,146.1,6.50%,1.25%,99.509,82.4,21.290001
2/1/2003,129.7,10.4,123.9,146,6.40%,1.25%,99.35114,79.9,22.549999
3/1/2003,129,9.6,125,145.9,6.20%,1.25%,99.43406,77.6,22.540001
4/1/2003,128.9,9.1,126.6,145.7,5.80%,1.25%,99.86697,86,26.299999
5/1/2003,130,8.9,127.7,145.4,5.80%,1.25%,100.2938,92.1,30.6
6/1/2003,129.7,9.3,132.9,145.1,6.50%,1.00%,100.4495,89.7,31.57
7/1/2003,128.6,10.2,129.7,145.1,6.30%,1.00%,100.4518,90.9,33.5
8/1/2003,130.2,11,131.3,145.3,6.00%,1.00%,100.3626,89.3,35.240002
9/1/2003,129.4,11.5,134.1,145.4,5.80%,1.00%,100.3272,87.7,32.849998
10/1/2003,127.7,11.5,142.8,145.3,5.60%,1.00%,100.4752,89.6,37.099998
11/1/2003,129.8,11.5,138.9,145.1,5.60%,1.00%,100.7667,93.7,39
12/1/2003,130.6,11.5,136.6,145.1,5.40%,1.00%,101.0691,92.6,38.48
1/1/2004,131.1,11.7,130.8,144.7,6.30%,1.00%,101.3479,103.8,35.5
2/1/2004,132,11.4,132.9,144.6,6.00%,1.00%,101.2345,94.4,37.740002
3/1/2004,131.6,11.4,136.6,144.6,6.00%,1.00%,101.0671,95.8,34.439999
4/1/2004,131.4,12.1,140.3,144.7,5.40%,1.00%,100.8963,94.2,37.150002
5/1/2004,133.9,12,146.3,144.8,5.30%,1.00%,100.8182,90.2,36
6/1/2004,133.2,11.6,147.3,144.6,5.80%,1.25%,100.9558,95.6,35.759998
