DATE,PPIF,PPID,PPIMPF,PPIS,URATE,CBPR,CCI,CSI,DRCSP
4/1/2001,117.8,14.5,128.7,146.4,4.20%,4.78%,100.4638,88.4,27.310001
5/1/2001,118.5,14.6,128.6,146.8,4.10%,4.23%,100.5862,92,27.900002
6/1/2001,118.8,14.1,126.8,146.8,4.70%,3.97%,100.6649,92.6,27.900002
7/1/2001,118.7,13.7,127,144.5,4.70%,3.75%,100.5792,92.4,29.899998
8/1/2001,118.1,13.7,128,144.5,4.90%,3.66%,100.2789,91.5,28.619999
9/1/2001,118.4,14.1,127.3,144.5,4.70%,3.27%,99.84611,81.8,26.25
10/1/2001,120,14.3,125.7,144.5,5.00%,2.52%,99.69008,82.7,32.02
11/1/2001,119.9,14.7,121.6,144.4,5.30%,2.08%,99.83724,83.9,30.740002
12/1/2001,119.5,15,120.9,144.3,5.40%,1.83%,100.1934,88.8,35.400002
1/1/2002,119.8,14.1,119.8,144.8,6.30%,1.75%,100.5378,93,41.200001
2/1/2002,119.8,13.9,123.1,144.8,6.10%,1.75%,100.7441,90.7,42.279999
3/1/2002,120.5,11.9,122.5,145.8,6.10%,1.75%,100.9306,95.7,40.59
4/1/2002,118.3,11.2,120,146,5.70%,1.75%,100.9832,93,39.900002
5/1/2002,119.1,11.2,119.1,146.2,5.50%,1.75%,100.9572,96.9,25.129999
6/1/2002,119.5,10.7,119.1,146,6.00%,1.75%,100.7075,92.4,24.700001
7/1/2002,122.2,10.4,119.8,145.7,5.90%,1.75%,100.3731,88.1,23.219999
8/1/2002,123.7,10,117.7,146.9,5.70%,1.75%,100.0976,87.6,25.629999
9/1/2002,126.5,10.2,116.9,146.4,5.40%,1.75%,99.8565,86.1,24.24
10/1/2002,128.1,10.5,116.8,146.2,5.30%,1.75%,99.67451,80.6,18.98
11/1/2002,126.7,10.6,116.8,146.5,5.60%,1.33%,99.6895,84.2,21.629999
12/1/2002,125.2,10.6,118.3,145.6,5.70%,1.25%,99.68697,86.7,20.450001
1/1/2003,128.1,10.8,121.8,146.1,6.50%,1.25%,99.509,82.4,21.700001
2/1/2003,129.7,10.4,123.9,146,6.40%,1.25%,99.35114,79.9,17.809999
3/1/2003,129,9.6,125,145.9,6.20%,1.25%,99.43406,77.6,17.85
4/1/2003,128.9,9.1,126.6,145.7,5.80%,1.25%,99.86697,86,17.51
5/1/2003,130,8.9,127.7,145.4,5.80%,1.25%,100.2938,92.1,19.809999
6/1/2003,129.7,9.3,132.9,145.1,6.50%,1.00%,100.4495,89.7,18.98
7/1/2003,128.6,10.2,129.7,145.1,6.30%,1.00%,100.4518,90.9,18.709999
8/1/2003,130.2,11,131.3,145.3,6.00%,1.00%,100.3626,89.3,21.799999
9/1/2003,129.4,11.5,134.1,145.4,5.80%,1.00%,100.3272,87.7,19
10/1/2003,127.7,11.5,142.8,145.3,5.60%,1.00%,100.4752,89.6,20.950001
11/1/2003,129.8,11.5,138.9,145.1,5.60%,1.00%,100.7667,93.7,20.709999
12/1/2003,130.6,11.5,136.6,145.1,5.40%,1.00%,101.0691,92.6,21.040001
1/1/2004,131.1,11.7,130.8,144.7,6.30%,1.00%,101.3479,103.8,20
2/1/2004,132,11.4,132.9,144.6,6.00%,1.00%,101.2345,94.4,24.4
3/1/2004,131.6,11.4,136.6,144.6,6.00%,1.00%,101.0671,95.8,24.790001
4/1/2004,131.4,12.1,140.3,144.7,5.40%,1.00%,100.8963,94.2,22.66
5/1/2004,133.9,12,146.3,144.8,5.30%,1.00%,100.8182,90.2,22.5
6/1/2004,133.2,11.6,147.3,144.6,5.80%,1.25%,100.9558,95.6,20.549999
7/1/2004,132.6,11.7,143.8,144.9,5.70%,1.25%,101.0669,96.7,21.33
8/1/2004,130.6,12.7,141.7,145,5.40%,1.50%,101.0423,95.9,21.01
9/1/2004,134.6,13.1,138.2,145.3,5.10%,1.75%,100.9237,94.2,23.32
10/1/2004,133.9,13.5,139.9,145.3,5.10%,1.75%,100.8346,91.7,24.5
11/1/2004,135.4,13.3,139.3,145.3,5.20%,2.00%,100.8987,92.8,27.26
12/1/2004,134.9,13.5,141.5,145.3,5.10%,2.25%,101.0342,97.1,27.74
1/1/2005,134.9,13.7,141.4,151.5,5.70%,2.25%,101.0195,95.5,29.559999
2/1/2005,136.1,13.9,145,151.6,5.80%,2.50%,100.8642,94.1,26.799999
3/1/2005,136.3,14.6,146.4,151.5,5.40%,2.75%,100.6351,92.6,30.68
4/1/2005,134.5,15.2,144.8,151.5,4.90%,2.75%,100.4471,87.7,30
5/1/2005,135.4,14.4,147.9,152.6,4.90%,3.00%,100.5149,86.9,32.48
6/1/2005,136.3,14.8,142.8,152.6,5.20%,3.25%,100.7646,96,32.98
7/1/2005,136.1,13.6,140.7,152.6,5.20%,3.25%,100.6712,96.5,34.700001
8/1/2005,135.8,13,140,152.4,4.90%,3.50%,100.0811,89.1,31.41
9/1/2005,136.2,12.9,141.3,152.5,4.80%,3.75%,99.3639,76.9,30.370001
10/1/2005,136.7,13.2,143.6,152.2,4.60%,3.75%,99.13113,74.2,32.419998
11/1/2005,138.5,13.3,141,152.2,4.80%,4.00%,99.51689,81.6,35.779999
12/1/2005,137.5,13.4,141.5,152.1,4.60%,4.25%,100.0925,91.5,38.880001
1/1/2006,136.9,14.2,139.6,152.2,5.10%,4.50%,100.3522,91.2,40.66
2/1/2006,139.2,14.6,136.9,157.6,5.10%,4.50%,100.3037,86.7,41.939999
3/1/2006,138.7,14.7,137.1,157.7,4.80%,4.75%,100.1726,88.9,41.029999
4/1/2006,142.3,14.9,135.3,158.5,4.50%,4.75%,99.92156,87.4,39.599998
5/1/2006,143.8,14,136.4,158.5,4.40%,5.00%,99.64022,79.1,35.41
6/1/2006,144.7,13.7,139.7,158.5,4.80%,5.25%,99.61951,84.9,39.400002
7/1/2006,147.6,13.1,141.4,158.6,5.00%,5.25%,99.65558,84.7,33.799999
8/1/2006,144,13.5,139.9,158.6,4.60%,5.25%,99.75361,82,35.400002
9/1/2006,145.3,14.6,141.1,159.9,4.40%,5.25%,100.0681,85.4,42.470001
10/1/2006,149.4,15.3,138,160.7,4.10%,5.25%,100.4871,93.6,41.900002
11/1/2006,149.6,15.6,137,160.9,4.30%,5.25%,100.7175,92.1,40.150002
